date,tmax_c,tmin_c,prcp_mm
2018-01-01,-6.1,-13.9,0
2018-01-02,-3.3,-13.9,0
2018-01-03,-1.1,-10.6,0
2018-01-04,-1.1,-8.9,1.8
2018-01-05,-1.7,-12.8,17.5
2018-01-06,-7.2,-13.3,0
2018-01-07,-7.8,-15,0
2018-01-08,-1.1,-15,0
2018-01-09,6.7,-8.3,0.3
2018-01-10,6.7,-1.1,0
2018-01-11,11.7,-1.1,0
2018-01-12,16.1,5,0
2018-01-13,16.1,-4.4,15
2018-01-14,-4.4,-9.4,1.3
2018-01-15,-1.1,-9.4,0
2018-01-16,2.2,-8.9,0
2018-01-17,2.2,-3.9,0
2018-01-18,2.2,-7.8,0.8
2018-01-19,3.3,-7.8,0
2018-01-20,11.1,-4.4,0
2018-01-21,11.1,3.3,0
2018-01-22,10,5,0.3
2018-01-23,15.6,3.3,0.5
2018-01-24,15.6,0.6,7.1
2018-01-25,6.7,-5,0
2018-01-26,3.3,-5,0
2018-01-27,13.3,-3.3,0
2018-01-28,13.3,8.9,3.6
2018-01-29,12.8,4.4,1.8
2018-01-30,8.3,-1.7,2.3
2018-01-31,2.2,-7.8,0.5
2018-02-01,7.2,-7.8,0
2018-02-02,7.2,-6.1,5.8
2018-02-03,5,-8.9,4.6
2018-02-04,7.2,-8.9,0
2018-02-05,7.8,-1.7,24.4
2018-02-06,4.4,-3.3,0
2018-02-07,7.2,-3.3,0
2018-02-08,7.2,-3.9,21.6
2018-02-09,1.7,-3.9,0
2018-02-10,10,-3.3,0
2018-02-11,16.7,3.9,22.4
2018-02-12,16.7,4.4,23.1
2018-02-13,3.9,-3.3,0
2018-02-14,11.7,-3.3,0.3
2018-02-15,15.6,1.7,2.8
2018-02-16,16.7,6.1,4.3
2018-02-17,5.6,-2.2,1
2018-02-18,6.7,-2.2,13.5
2018-02-19,9.4,0.6,0.3
2018-02-20,19.4,2.2,1
2018-02-21,25.6,8.3,0
2018-02-22,25.6,2.8,1.5
2018-02-23,4.4,2,4.3
2018-02-24,12.8,4.4,1.5
2018-02-25,12.8,4.4,14.7
2018-02-26,11.1,4.4,5.8
2018-02-27,13.3,3.9,0
2018-02-28,16.1,3.9,0
2018-03-01,16.1,5.6,0
2018-03-02,12.2,1,33
2018-03-03,9.4,1.1,23.9
2018-03-04,9.4,2.2,0
2018-03-05,6.7,0.6,0
2018-03-06,8.3,0,0
2018-03-07,8.3,0,2.8
